id,value
cheltuieli,
cheltuieli.curente,
cheltuieli.curente.Personal,117366
cheltuieli.curente.Bunuri,590569
cheltuieli.curente.Dobanzi,124540
cheltuieli.curente.Subventii,1059000
cheltuieli.curente.Rezerva,12175
cheltuieli.curente.Transferuri,627437
cheltuieli.curente.AlteTransferuri,73878
cheltuieli.curente.ProiecteFinantateDinFonduriNerambursabileEuropene,463174
cheltuieli.curente.AsistentaSociala,1682
cheltuieli.curente.AlteCheltuieli,112860
cheltuieli.capital,823638
cheltuieli.OperatiuniFinanciare,
cheltuieli.OperatiuniFinanciare.ImprumuturiAcordate,0
cheltuieli.OperatiuniFinanciare.RambursariCredite,133677
cheltuieli.PlatiEfectuateSiRecuperate,0
cheltuieli.Rezerve,0